T_DMS_LOAD_PROFILE,C_LOAD_PROFILE,LDC
DEDRS,66,CND
DEDRS,69,CND
DEDRS,70,CND
DEDRH,71,CND
DEDGL,73,CND
DEDGP,74,CND
DEDOL,77,CND
DEDGS,80,CND
DEDGS,81,CND
DEDGS,83,CND
DEDGS,84,CND
MDDRS,85,CNM
MDDRS,86,CNM
MDDRH,88,CNM
MDDGS,90,CNM
MDDGS,95,CNM
MDDGP,96,CNM
MDDGL,98,CNM
MDDOL,100,CNM
MDDOL,101,CNM
MDDOL,102,CNM
MDDRH,523,CNM
MDDGS,524,CNM
DEDGS,525,CND
DEDGD,526,CND
DEDRH,527,CND
DEDGL,529,CND
DEDGN,530,CND
DEDRS,531,CND
DEDGP,532,CND
DEDOL,533,CND
MDDOL,534,CNM
MDDRS,537,CNM
